keelez | Keelez Bunbat | MeowcaTheoRange | Rust
thaobi | Thaobi ??? | MeowcaTheoRange | Rust
temano | Temano Poswan | MeowcaTheoRange | Bronze
joltif | Joltif Zoxxit | MeowcaTheoRange | Gold
thaero | Thaero Rhange | MeowcaTheoRange | Olive
landon | Landon Konner | MeowcaTheoRange | Teal
archan | Archan Scurra | BeetrootBot | Purple
lotine | Lotine Restej | Earl Grey | Purple
capaca | Capaca Quincy | Earl Grey | Violet
reswob | Reswob Soopak | lavenderSiren | Blue
syreta | Syreta Roseus | Pink-o Arts | Bronze
vryano | Vryano Sitnam | Varcan | Rust
xyuaad | Xyuaad Kleufi | Varcan | Gold
kyrius | Kyrius Nevaad | Varcan | Jade
